postId,title,slug,pageUrl,postedAt,baseScore,voteCount,commentCount,finalReviewVoteScoreHighKarma,year
nvtj4vwbmEChLccFG,Friendly and Unfriendly AGI are Indistinguishable,friendly-and-unfriendly-agi-are-indistinguishable,https://www.lesswrong.com/posts/nvtj4vwbmEChLccFG/friendly-and-unfriendly-agi-are-indistinguishable,2022-12-29T22:13:00.434Z,-4,3,4,0,2022
XNjRwEX9kxbpzWFWd,200 COP in MI: Looking for Circuits in the Wild,200-cop-in-mi-looking-for-circuits-in-the-wild,https://www.lesswrong.com/posts/XNjRwEX9kxbpzWFWd/200-cop-in-mi-looking-for-circuits-in-the-wild,2022-12-29T20:59:53.267Z,16,9,5,0,2022
GmEf9F4CtgttiG75N,Thoughts on the implications of GPT-3, two years ago and NOW [here be dragons, we're swimming, flying and talking with them],thoughts-on-the-implications-of-gpt-3-two-years-ago-and-now,https://www.lesswrong.com/posts/GmEf9F4CtgttiG75N/thoughts-on-the-implications-of-gpt-3-two-years-ago-and-now,2022-12-29T20:05:31.062Z,0,2,0,0,2022
uKfAJF2DijxcQneHm,Covid 12/29/22: Next Up is XBB.1.5,covid-12-29-22-next-up-is-xbb-1-5,https://www.lesswrong.com/posts/uKfAJF2DijxcQneHm/covid-12-29-22-next-up-is-xbb-1-5,2022-12-29T18:20:00.943Z,33,11,4,0,2022
Rggqa2wkWnJCt9tHN,Entrepreneurship ETG Might Be Better Than 80k Thought,entrepreneurship-etg-might-be-better-than-80k-thought,https://www.lesswrong.com/posts/Rggqa2wkWnJCt9tHN/entrepreneurship-etg-might-be-better-than-80k-thought,2022-12-29T17:51:13.412Z,33,15,0,0,2022
nwLQt4e7bstCyPEXs,Internal Interfaces Are a High-Priority Interpretability Target,internal-interfaces-are-a-high-priority-interpretability,https://www.lesswrong.com/posts/nwLQt4e7bstCyPEXs/internal-interfaces-are-a-high-priority-interpretability,2022-12-29T17:49:27.450Z,26,17,6,0,2022
GyZR24j8buR7D2n8D,CFP for Rebellion and Disobedience in AI workshop,cfp-for-rebellion-and-disobedience-in-ai-workshop,https://www.lesswrong.com/posts/GyZR24j8buR7D2n8D/cfp-for-rebellion-and-disobedience-in-ai-workshop,2022-12-29T16:08:05.035Z,15,4,0,0,2022
SajoAeNYDBmqyCZFK,My scorched-earth policy on New Year’s resolutions,my-scorched-earth-policy-on-new-year-s-resolutions,https://www.lesswrong.com/posts/SajoAeNYDBmqyCZFK/my-scorched-earth-policy-on-new-year-s-resolutions,2022-12-29T14:45:47.126Z,29,12,2,0,2022
dBetFzujLck2BJNAB,Don't feed the void. She is fat enough!,don-t-feed-the-void-she-is-fat-enough,https://www.lesswrong.com/posts/dBetFzujLck2BJNAB/don-t-feed-the-void-she-is-fat-enough,2022-12-29T14:18:44.526Z,11,8,0,0,2022
tvsZZM38mKrgt3M7y,Is there any unified resource on Eliezer's fatigue?,is-there-any-unified-resource-on-eliezer-s-fatigue,https://www.lesswrong.com/posts/tvsZZM38mKrgt3M7y/is-there-any-unified-resource-on-eliezer-s-fatigue,2022-12-29T14:04:53.488Z,8,16,2,0,2022
q4uuwa7DXQdBeRGHP,Logical Probability of Goldbach’s Conjecture: Provable Rule or Coincidence?,logical-probability-of-goldbach-s-conjecture-provable-rule,https://www.lesswrong.com/posts/q4uuwa7DXQdBeRGHP/logical-probability-of-goldbach-s-conjecture-provable-rule,2022-12-29T13:37:45.130Z,5,9,15,0,2022
fLHyBpAptikZHi8nB,Where do you get your capabilities from?,where-do-you-get-your-capabilities-from,https://www.lesswrong.com/posts/fLHyBpAptikZHi8nB/where-do-you-get-your-capabilities-from,2022-12-29T11:39:05.449Z,18,10,27,0,2022
gbaat54g4h6AA9pof,The commercial incentive to intentionally train AI to deceive us,the-commercial-incentive-to-intentionally-train-ai-to,https://www.lesswrong.com/posts/gbaat54g4h6AA9pof/the-commercial-incentive-to-intentionally-train-ai-to,2022-12-29T11:30:28.267Z,5,4,1,0,2022
pCenHP2hhZBNys6Tm,Infinite necklace: the line as a circle,infinite-necklace-the-line-as-a-circle,https://www.lesswrong.com/posts/pCenHP2hhZBNys6Tm/infinite-necklace-the-line-as-a-circle,2022-12-29T10:41:58.268Z,5,5,2,0,2022
HCJTSSz3dtKzchqKm,Privacy Tradeoffs,privacy-tradeoffs,https://www.lesswrong.com/posts/HCJTSSz3dtKzchqKm/privacy-tradeoffs,2022-12-29T03:40:01.463Z,13,11,1,0,2022
DPShFqQWMSjWBshLw,Against John Searle, Gary Marcus, the Chinese Room thought experiment and its world
,against-john-searle-gary-marcus-the-chinese-room-thought,https://www.lesswrong.com/posts/DPShFqQWMSjWBshLw/against-john-searle-gary-marcus-the-chinese-room-thought,2022-12-29T03:26:12.485Z,21,11,40,0,2022
eNwCXXLzEhWv6aznf,Large Language Models Suggest a Path to Ems,large-language-models-suggest-a-path-to-ems,https://www.lesswrong.com/posts/eNwCXXLzEhWv6aznf/large-language-models-suggest-a-path-to-ems,2022-12-29T02:20:01.753Z,17,12,2,0,2022
3duF2yg97hvJXhhCT,Book recommendations for the history of ML? ,book-recommendations-for-the-history-of-ml,https://www.lesswrong.com/posts/3duF2yg97hvJXhhCT/book-recommendations-for-the-history-of-ml,2022-12-28T23:50:55.512Z,2,1,2,0,2022
mvy5DazH83Liknzp4,Rock-Paper-Scissors Can Be Weird,rock-paper-scissors-can-be-weird,https://www.lesswrong.com/posts/mvy5DazH83Liknzp4/rock-paper-scissors-can-be-weird,2022-12-28T23:12:11.329Z,14,11,3,0,2022
GWCgZrzWCZCuzGktv,200 COP in MI: The Case for Analysing Toy Language Models,200-cop-in-mi-the-case-for-analysing-toy-language-models,https://www.lesswrong.com/posts/GWCgZrzWCZCuzGktv/200-cop-in-mi-the-case-for-analysing-toy-language-models,2022-12-28T21:07:03.838Z,39,15,3,0,2022
LbrPTJ4fmABEdEnLf,200 Concrete Open Problems in Mechanistic Interpretability: Introduction,200-concrete-open-problems-in-mechanistic-interpretability,https://www.lesswrong.com/posts/LbrPTJ4fmABEdEnLf/200-concrete-open-problems-in-mechanistic-interpretability,2022-12-28T21:06:53.853Z,99,50,0,0.6000000238418579,2022
TRtjY2efCd2v9WR2i,Effective ways to find love?,effective-ways-to-find-love,https://www.lesswrong.com/posts/TRtjY2efCd2v9WR2i/effective-ways-to-find-love,2022-12-28T20:46:23.247Z,8,7,7,0,2022
N8fxhaGWHv9hcuBZg,Classical logic based on propositions-as-subsingleton-types ,classical-logic-based-on-propositions-as-subsingleton-types,https://www.lesswrong.com/posts/N8fxhaGWHv9hcuBZg/classical-logic-based-on-propositions-as-subsingleton-types,2022-12-28T20:16:37.723Z,3,2,0,0,2022
wdC8fH8kHffYn3kNa,In Defense of Wrapper-Minds,in-defense-of-wrapper-minds,https://www.lesswrong.com/posts/wdC8fH8kHffYn3kNa/in-defense-of-wrapper-minds,2022-12-28T18:28:25.868Z,23,15,38,4,2022
XCXjpFaqYTTQKhwKi,What is the best way to approach Expected Value calculations when payoffs are highly skewed?,what-is-the-best-way-to-approach-expected-value-calculations,https://www.lesswrong.com/posts/XCXjpFaqYTTQKhwKi/what-is-the-best-way-to-approach-expected-value-calculations,2022-12-28T14:42:51.169Z,8,2,16,0,2022
Jyti97rDY4q3qpDgd,Bandwagon effect: Bias in Evaluating AGI X-Risks
,bandwagon-effect-bias-in-evaluating-agi-x-risks,https://www.lesswrong.com/posts/Jyti97rDY4q3qpDgd/bandwagon-effect-bias-in-evaluating-agi-x-risks,2022-12-28T07:54:50.669Z,-1,5,0,0,2022
bC5xd7wQCnTDw7Kyx,Getting up to Speed on the Speed Prior in 2022,getting-up-to-speed-on-the-speed-prior-in-2022,https://www.lesswrong.com/posts/bC5xd7wQCnTDw7Kyx/getting-up-to-speed-on-the-speed-prior-in-2022,2022-12-28T07:49:22.948Z,36,13,5,0,2022
zMDCZYCayp467RSdd,World superpowers, particularly the United States, still maintain large conventional militaries despite nuclear deterrence. Why?,world-superpowers-particularly-the-united-states-still,https://www.lesswrong.com/posts/zMDCZYCayp467RSdd/world-superpowers-particularly-the-united-states-still,2022-12-28T05:38:15.585Z,9,5,8,0,2022
omkkz4dzc2HeSgLNx,What does "probability" really mean?,what-does-probability-really-mean,https://www.lesswrong.com/posts/omkkz4dzc2HeSgLNx/what-does-probability-really-mean,2022-12-28T03:20:45.651Z,5,4,20,0,2022
EaK8CgRTPHXLT7ypi,Zooming the Chrome Audio Player,zooming-the-chrome-audio-player,https://www.lesswrong.com/posts/EaK8CgRTPHXLT7ypi/zooming-the-chrome-audio-player,2022-12-28T02:30:01.244Z,9,1,0,0,2022
gpk8dARHBi7Mkmzt9,What AI Safety Materials Do ML Researchers Find Compelling?,what-ai-safety-materials-do-ml-researchers-find-compelling,https://www.lesswrong.com/posts/gpk8dARHBi7Mkmzt9/what-ai-safety-materials-do-ml-researchers-find-compelling,2022-12-28T02:03:31.894Z,175,77,34,0,2022
86DNwShp7abBW4xe5,South Bay ACX/LW Meetup,south-bay-acx-lw-meetup-5,https://www.lesswrong.com/events/86DNwShp7abBW4xe5/south-bay-acx-lw-meetup-5,2022-12-28T01:59:12.389Z,3,2,0,0,2022
wkXfrBfesSM2evCaD,Regarding Blake Lemoine's claim that LaMDA is 'sentient', he might be right (sorta), but perhaps not for the reasons he thinks,regarding-blake-lemoine-s-claim-that-lamda-is-sentient-he,https://www.lesswrong.com/posts/wkXfrBfesSM2evCaD/regarding-blake-lemoine-s-claim-that-lamda-is-sentient-he,2022-12-28T01:55:40.565Z,9,7,1,0,2022
CLY5uppzHDmvyt5xp,Fundamental Uncertainty: Chapter 5 - How do we know what we know?,fundamental-uncertainty-chapter-5-how-do-we-know-what-we,https://www.lesswrong.com/posts/CLY5uppzHDmvyt5xp/fundamental-uncertainty-chapter-5-how-do-we-know-what-we,2022-12-28T01:28:50.605Z,10,2,2,0,2022
CMHazFsmiSaBaWKJW,Is checking that a state of the world is not dystopian easier than constructing a non-dystopian state?,is-checking-that-a-state-of-the-world-is-not-dystopian,https://www.lesswrong.com/posts/CMHazFsmiSaBaWKJW/is-checking-that-a-state-of-the-world-is-not-dystopian,2022-12-27T20:57:27.663Z,5,2,3,0,2022
jLkRCPBG6c6Bc3vYY,Crypto-currency as pro-alignment mechanism,crypto-currency-as-pro-alignment-mechanism,https://www.lesswrong.com/posts/jLkRCPBG6c6Bc3vYY/crypto-currency-as-pro-alignment-mechanism,2022-12-27T17:45:54.474Z,-10,5,2,0,2022
C53REQuzSk3TTfqgT,My Reservations about Discovering Latent Knowledge (Burns, Ye, et al),my-reservations-about-discovering-latent-knowledge-burns-ye,https://www.lesswrong.com/posts/C53REQuzSk3TTfqgT/my-reservations-about-discovering-latent-knowledge-burns-ye,2022-12-27T17:27:02.225Z,50,18,0,0,2022
sGnPTfjE5JthAStqg,Things that can kill you quickly: What everyone should know about first aid,things-that-can-kill-you-quickly-what-everyone-should-know,https://www.lesswrong.com/posts/sGnPTfjE5JthAStqg/things-that-can-kill-you-quickly-what-everyone-should-know,2022-12-27T16:23:24.831Z,165,88,21,19.600000381469727,2022
XYDsYSbBjqgPAgcoQ,Why The Focus on Expected Utility Maximisers?,why-the-focus-on-expected-utility-maximisers,https://www.lesswrong.com/posts/XYDsYSbBjqgPAgcoQ/why-the-focus-on-expected-utility-maximisers,2022-12-27T15:49:36.536Z,116,54,84,0,2022
nWBxLBgYpvPDuDqH9,Presumptive Listening: sticking to familiar concepts and missing the outer reasoning paths,presumptive-listening-sticking-to-familiar-concepts-and,https://www.lesswrong.com/posts/nWBxLBgYpvPDuDqH9/presumptive-listening-sticking-to-familiar-concepts-and,2022-12-27T15:40:23.698Z,-14,8,8,0,2022
gznHfsTN6XxL5N5qf,Mere exposure effect: 
Bias in Evaluating AGI X-Risks,mere-exposure-effect-bias-in-evaluating-agi-x-risks,https://www.lesswrong.com/posts/gznHfsTN6XxL5N5qf/mere-exposure-effect-bias-in-evaluating-agi-x-risks,2022-12-27T14:05:29.563Z,0,8,2,0,2022
z73dfgvGdcXxYKDs6,Housing and Transportation Roundup #2,housing-and-transportation-roundup-2,https://www.lesswrong.com/posts/z73dfgvGdcXxYKDs6/housing-and-transportation-roundup-2,2022-12-27T13:10:00.979Z,25,11,0,0,2022
mDu4FsMA5o7Gmh49y,Are tulpas moral patients?,are-tulpas-moral-patients,https://www.lesswrong.com/posts/mDu4FsMA5o7Gmh49y/are-tulpas-moral-patients,2022-12-27T11:30:29.923Z,16,17,28,0,2022
wnF9iydYiBMRs2jPg,Reflections on my 5-month alignment upskilling grant,reflections-on-my-5-month-alignment-upskilling-grant,https://www.lesswrong.com/posts/wnF9iydYiBMRs2jPg/reflections-on-my-5-month-alignment-upskilling-grant,2022-12-27T10:51:49.872Z,82,51,4,0,2022
wGstGErtRegAzBjz9,Institutions Cannot Restrain Dark-Triad AI Exploitation,institutions-cannot-restrain-dark-triad-ai-exploitation,https://www.lesswrong.com/posts/wGstGErtRegAzBjz9/institutions-cannot-restrain-dark-triad-ai-exploitation,2022-12-27T10:34:34.698Z,5,7,0,0,2022
nEdueRhZwB4eP6X3c,Introduction: Bias in Evaluating AGI X-Risks,introduction-bias-in-evaluating-agi-x-risks,https://www.lesswrong.com/posts/nEdueRhZwB4eP6X3c/introduction-bias-in-evaluating-agi-x-risks,2022-12-27T10:27:30.646Z,1,8,0,0,2022
k3vEcwZYoRPrSXaS8,MDPs and the Bellman Equation, Intuitively Explained,mdps-and-the-bellman-equation-intuitively-explained,https://www.lesswrong.com/posts/k3vEcwZYoRPrSXaS8/mdps-and-the-bellman-equation-intuitively-explained,2022-12-27T05:50:23.633Z,11,4,3,0,2022
Gy2c24uqmut7EeCkJ,How 'Human-Human' dynamics give way to 'Human-AI' and then 'AI-AI' dynamics,how-human-human-dynamics-give-way-to-human-ai-and-then-ai-ai,https://www.lesswrong.com/posts/Gy2c24uqmut7EeCkJ/how-human-human-dynamics-give-way-to-human-ai-and-then-ai-ai,2022-12-27T03:16:17.377Z,-2,7,5,0,2022
ykYgS5MSvXyXMzCsa,Nine Points of Collective Insanity,nine-points-of-collective-insanity-1,https://www.lesswrong.com/posts/ykYgS5MSvXyXMzCsa/nine-points-of-collective-insanity-1,2022-12-27T03:14:11.426Z,-2,6,3,0,2022
7h6kbKBEDeKsQxzsW,Fractional Resignation,fractional-resignation,https://www.lesswrong.com/posts/7h6kbKBEDeKsQxzsW/fractional-resignation,2022-12-27T02:30:01.240Z,18,8,6,0,2022
CFPjvozs5oLXG6oEw,What policies have most thoroughly crippled (otherwise-promising) industries or technologies?,what-policies-have-most-thoroughly-crippled-otherwise,https://www.lesswrong.com/posts/CFPjvozs5oLXG6oEw/what-policies-have-most-thoroughly-crippled-otherwise,2022-12-27T02:25:44.376Z,40,11,4,0,2022
GHeEdubBHjcqeoxjP,Recent advances in Natural Language Processing—Some Woolly speculations (2019 essay on semantics and language models),recent-advances-in-natural-language-processing-some-woolly,https://www.lesswrong.com/posts/GHeEdubBHjcqeoxjP/recent-advances-in-natural-language-processing-some-woolly,2022-12-27T02:11:36.960Z,1,1,0,0,2022
xLsyFKsyaagxao9s2,Against Agents as an Approach to Aligned Transformative AI,against-agents-as-an-approach-to-aligned-transformative-ai,https://www.lesswrong.com/posts/xLsyFKsyaagxao9s2/against-agents-as-an-approach-to-aligned-transformative-ai,2022-12-27T00:47:03.706Z,12,5,9,0,2022
JLyWP2Y9LAruR2gi9,Can we efficiently distinguish different mechanisms?,can-we-efficiently-distinguish-different-mechanisms,https://www.lesswrong.com/posts/JLyWP2Y9LAruR2gi9/can-we-efficiently-distinguish-different-mechanisms,2022-12-27T00:20:01.728Z,87,29,30,0,2022
ehLR9HeXB5TMp9Y4v,Air-gapping evaluation and support,air-gapping-evaluation-and-support,https://www.lesswrong.com/posts/ehLR9HeXB5TMp9Y4v/air-gapping-evaluation-and-support,2022-12-26T22:52:29.881Z,53,28,1,3.4000000953674316,2022
9MZdwQ7u53oaRiBYX,Slightly against aligning with neo-luddites,slightly-against-aligning-with-neo-luddites,https://www.lesswrong.com/posts/9MZdwQ7u53oaRiBYX/slightly-against-aligning-with-neo-luddites,2022-12-26T22:46:42.693Z,104,50,31,0,2022
FfTxEf3uFPsZf9EMP,Avoiding perpetual risk from TAI,avoiding-perpetual-risk-from-tai,https://www.lesswrong.com/posts/FfTxEf3uFPsZf9EMP/avoiding-perpetual-risk-from-tai,2022-12-26T22:34:48.565Z,15,11,6,0,2022
mXaugZyivQN3Eg8G3,Announcing: The Independent AI Safety Registry,announcing-the-independent-ai-safety-registry,https://www.lesswrong.com/posts/mXaugZyivQN3Eg8G3/announcing-the-independent-ai-safety-registry,2022-12-26T21:22:18.381Z,53,25,9,0,2022
nqwudd5NxbpEpZhkK,Are men harder to help?,are-men-harder-to-help,https://www.lesswrong.com/posts/nqwudd5NxbpEpZhkK/are-men-harder-to-help,2022-12-26T21:11:08.036Z,35,17,1,0,2022
CBerq98YnuQNBq9Dp,How much should I update on the fact that my dentist is named Dennis?,how-much-should-i-update-on-the-fact-that-my-dentist-is,https://www.lesswrong.com/posts/CBerq98YnuQNBq9Dp/how-much-should-i-update-on-the-fact-that-my-dentist-is,2022-12-26T19:11:07.918Z,2,1,3,0,2022
PbfFFs6koYqueaH8o,Theodicy and the simulation hypothesis, or: The problem of simulator evil,theodicy-and-the-simulation-hypothesis-or-the-problem-of,https://www.lesswrong.com/posts/PbfFFs6koYqueaH8o/theodicy-and-the-simulation-hypothesis-or-the-problem-of,2022-12-26T18:55:15.872Z,6,4,12,0,2022
ngqFnDjCtWqQcSHXZ,Safety of Self-Assembled Neuromorphic Hardware,safety-of-self-assembled-neuromorphic-hardware,https://www.lesswrong.com/posts/ngqFnDjCtWqQcSHXZ/safety-of-self-assembled-neuromorphic-hardware,2022-12-26T18:51:26.163Z,14,5,2,0,2022
vdXNPzuh3fwgykvKY,Coherent extrapolated dreaming,coherent-extrapolated-dreaming,https://www.lesswrong.com/posts/vdXNPzuh3fwgykvKY/coherent-extrapolated-dreaming,2022-12-26T17:29:14.420Z,38,15,10,0,2022
jcFSEbXEfKgMwETqw,An overview of some promising work by junior alignment researchers,an-overview-of-some-promising-work-by-junior-alignment,https://www.lesswrong.com/posts/jcFSEbXEfKgMwETqw/an-overview-of-some-promising-work-by-junior-alignment,2022-12-26T17:23:58.991Z,34,23,0,0,2022
bLFgxoubhDFnymwa8,Solstice song: Here Lies the Dragon,solstice-song-here-lies-the-dragon,https://www.lesswrong.com/posts/bLFgxoubhDFnymwa8/solstice-song-here-lies-the-dragon,2022-12-26T16:08:34.740Z,8,3,1,0,2022
yoqwkBHQQfn6tA2Km,The Usefulness Paradigm,the-usefulness-paradigm,https://www.lesswrong.com/posts/yoqwkBHQQfn6tA2Km/the-usefulness-paradigm,2022-12-26T13:23:58.722Z,3,5,4,0,2022
tEXdeAcp8mKtuNCZ5,Looking Back on Posts From 2022,looking-back-on-posts-from-2022,https://www.lesswrong.com/posts/tEXdeAcp8mKtuNCZ5/looking-back-on-posts-from-2022,2022-12-26T13:20:00.745Z,49,19,8,0,2022
tsYcsZAkKsqLXC3Bu,Analogies between Software Reverse Engineering and Mechanistic Interpretability,analogies-between-software-reverse-engineering-and,https://www.lesswrong.com/posts/tsYcsZAkKsqLXC3Bu/analogies-between-software-reverse-engineering-and,2022-12-26T12:26:57.880Z,34,14,6,0,2022
GqyQSwYrryc4e2hgf,Mlyyrczo,mlyyrczo,https://www.lesswrong.com/posts/GqyQSwYrryc4e2hgf/mlyyrczo,2022-12-26T07:58:57.920Z,41,46,14,0,2022
zxhdxx7o453uq2zWr,Causal abstractions vs infradistributions,causal-abstractions-vs-infradistributions,https://www.lesswrong.com/posts/zxhdxx7o453uq2zWr/causal-abstractions-vs-infradistributions,2022-12-26T00:21:16.179Z,20,9,0,9,2022
9ezkEb9oGvEi6WoB3,Concrete Steps to Get Started in Transformer Mechanistic Interpretability,concrete-steps-to-get-started-in-transformer-mechanistic,https://www.lesswrong.com/posts/9ezkEb9oGvEi6WoB3/concrete-steps-to-get-started-in-transformer-mechanistic,2022-12-25T22:21:49.686Z,54,29,7,0,2022
PEmAi3PFjXezJz3js,It's time to worry about online privacy again,it-s-time-to-worry-about-online-privacy-again,https://www.lesswrong.com/posts/PEmAi3PFjXezJz3js/it-s-time-to-worry-about-online-privacy-again,2022-12-25T21:05:30.977Z,65,45,23,0,2022
EASv46FpehppAFHSm,[Hebbian Natural Abstractions] Mathematical Foundations,hebbian-natural-abstractions-mathematical-foundations,https://www.lesswrong.com/posts/EASv46FpehppAFHSm/hebbian-natural-abstractions-mathematical-foundations,2022-12-25T20:58:03.423Z,15,8,2,0,2022
kG2qQGnpvecGg4dyn,Oracle AGI - How can it escape, other than security issues? (Steganography?),oracle-agi-how-can-it-escape-other-than-security-issues,https://www.lesswrong.com/posts/kG2qQGnpvecGg4dyn/oracle-agi-how-can-it-escape-other-than-security-issues,2022-12-25T20:14:09.834Z,3,2,6,0,2022
ji4cvzir2qdpALLHo,YCombinator fraud rates,ycombinator-fraud-rates,https://www.lesswrong.com/posts/ji4cvzir2qdpALLHo/ycombinator-fraud-rates,2022-12-25T19:21:52.829Z,56,25,3,5,2022
