postId,title,slug,pageUrl,postedAt,baseScore,voteCount,commentCount,finalReviewVoteScoreHighKarma,year
odCKKJz4Ye6qZdfrW,"Reality vanishes in a puff of logic",reality-vanishes-in-a-puff-of-logic,https://www.lesswrong.com/posts/odCKKJz4Ye6qZdfrW/reality-vanishes-in-a-puff-of-logic,2019-12-29T21:55:13.297Z,-3,10,8,0,2019
ntd6wtcvfy6TWXHBs,"Why is the mail so much better than the DMV?",why-is-the-mail-so-much-better-than-the-dmv,https://www.lesswrong.com/posts/ntd6wtcvfy6TWXHBs/why-is-the-mail-so-much-better-than-the-dmv,2019-12-29T18:55:10.998Z,30,17,13,0,2019
MjZSdPEd94sp48EFC,"Judgment Day: Insights from 'Judgment in Managerial Decision Making'",judgment-day-insights-from-judgment-in-managerial-decision,https://www.lesswrong.com/posts/MjZSdPEd94sp48EFC/judgment-day-insights-from-judgment-in-managerial-decision,2019-12-29T18:03:28.352Z,24,8,6,0,2019
GbpdQSiDYbJgKh3n3,"Phage therapy in a post-antibiotics world",phage-therapy-in-a-post-antibiotics-world,https://www.lesswrong.com/posts/GbpdQSiDYbJgKh3n3/phage-therapy-in-a-post-antibiotics-world,2019-12-29T17:03:01.679Z,22,8,14,0,2019
gECsXTQPBKda9rrGe,"Perfect Competition",perfect-competition,https://www.lesswrong.com/posts/gECsXTQPBKda9rrGe/perfect-competition,2019-12-29T13:30:00.395Z,51,27,29,0,2019
dMeRKq6tXWqcNxujt,"Self and No-Self",self-and-no-self,https://www.lesswrong.com/posts/dMeRKq6tXWqcNxujt/self-and-no-self,2019-12-29T06:15:50.192Z,47,18,3,0,2019
BpwPHjRy6HnJRCpvB,"Good goals for leveling up?",good-goals-for-leveling-up,https://www.lesswrong.com/posts/BpwPHjRy6HnJRCpvB/good-goals-for-leveling-up,2019-12-29T05:25:09.661Z,11,6,6,0,2019
7XTnz7S77hRzLbpDA,"Programmers Should Plan For Lower Pay",programmers-should-plan-for-lower-pay,https://www.lesswrong.com/posts/7XTnz7S77hRzLbpDA/programmers-should-plan-for-lower-pay,2019-12-29T03:20:01.343Z,76,32,72,0,2019
YgLErYWWXCyCyXY3T,"What are the most exciting developments from non-Europe and/or non-Northern-Hemisphere?",what-are-the-most-exciting-developments-from-non-europe-and,https://www.lesswrong.com/posts/YgLErYWWXCyCyXY3T/what-are-the-most-exciting-developments-from-non-europe-and,2019-12-29T01:30:05.246Z,13,3,1,0,2019
87Y7w73phjBxnPyPD,"Safe exploration and corrigibility",safe-exploration-and-corrigibility,https://www.lesswrong.com/posts/87Y7w73phjBxnPyPD/safe-exploration-and-corrigibility,2019-12-28T23:12:16.585Z,17,8,4,0,2019
7FNMLdy8wEZY7onXh,"What is your recommended statistics textbook for a beginner?",what-is-your-recommended-statistics-textbook-for-a-beginner,https://www.lesswrong.com/posts/7FNMLdy8wEZY7onXh/what-is-your-recommended-statistics-textbook-for-a-beginner,2019-12-28T21:19:38.200Z,5,3,1,0,2019
y4bkJTtG3s5d6v36k,"Stupidity and Dishonesty Explain Each Other Away",stupidity-and-dishonesty-explain-each-other-away,https://www.lesswrong.com/posts/y4bkJTtG3s5d6v36k/stupidity-and-dishonesty-explain-each-other-away,2019-12-28T19:21:52.198Z,38,17,18,0,2019
shy3bzGfhHPnPzS5j,"Measuring Epistemic Rationality",measuring-epistemic-rationality,https://www.lesswrong.com/posts/shy3bzGfhHPnPzS5j/measuring-epistemic-rationality,2019-12-28T18:46:24.041Z,6,3,1,0,2019
JDdmcc4CmMDDo82rZ,"An Emergency Fund for Effective Altruists",an-emergency-fund-for-effective-altruists,https://www.lesswrong.com/posts/JDdmcc4CmMDDo82rZ/an-emergency-fund-for-effective-altruists,2019-12-28T18:02:38.449Z,9,5,8,0,2019
Swb3X8sFW52TzA89m,"How was your decade?",how-was-your-decade,https://www.lesswrong.com/posts/Swb3X8sFW52TzA89m/how-was-your-decade,2019-12-28T17:14:41.177Z,26,9,8,0,2019
ham9i5wf4JCexXnkN,"Moloch Hasn’t Won",moloch-hasn-t-won,https://www.lesswrong.com/posts/ham9i5wf4JCexXnkN/moloch-hasn-t-won,2019-12-28T16:30:00.947Z,178,82,40,0,2019
K9GEw3DfTz7Nop7ZM,"Has there been a ""memetic collapse""?",has-there-been-a-memetic-collapse,https://www.lesswrong.com/posts/K9GEw3DfTz7Nop7ZM/has-there-been-a-memetic-collapse,2019-12-28T05:36:05.558Z,32,7,7,0,2019
ZsWweSsiSqiQoeKBX,"Out in the Great Northwest",out-in-the-great-northwest,https://www.lesswrong.com/posts/ZsWweSsiSqiQoeKBX/out-in-the-great-northwest,2019-12-28T03:40:01.697Z,6,2,0,0,2019
cim227Tfd3j5E2anv,"Cambridge LW/SC Meetup",cambridge-lw-sc-meetup,https://www.lesswrong.com/events/cim227Tfd3j5E2anv/cambridge-lw-sc-meetup,2019-12-28T03:07:07.008Z,6,1,1,0,2019
MYXmFLZcsQWA9X2r4,"Meditation Retreat: Immoral Mazes Sequence Introduction",meditation-retreat-immoral-mazes-sequence-introduction,https://www.lesswrong.com/posts/MYXmFLZcsQWA9X2r4/meditation-retreat-immoral-mazes-sequence-introduction,2019-12-28T00:50:01.078Z,76,32,16,0,2019
Q8Z8yoG4tBaowBHwk,"Critiquing ""What failure looks like""",critiquing-what-failure-looks-like,https://www.lesswrong.com/posts/Q8Z8yoG4tBaowBHwk/critiquing-what-failure-looks-like,2019-12-27T23:59:50.440Z,35,13,6,0,2019
AAHggsNhpJaFgWRkt,"More on polio and randomized clinical trials",more-on-polio-and-randomized-clinical-trials,https://www.lesswrong.com/posts/AAHggsNhpJaFgWRkt/more-on-polio-and-randomized-clinical-trials,2019-12-27T21:07:02.340Z,18,6,1,0,2019
xj8yC4Em8isRJzRtn,"Vaccine... Help? Deprogramming? Something?",vaccine-help-deprogramming-something,https://www.lesswrong.com/posts/xj8yC4Em8isRJzRtn/vaccine-help-deprogramming-something,2019-12-27T20:27:27.367Z,4,3,27,0,2019
pE3EDMWrFBSvt6DvZ,"Expected utility and repeated choices",expected-utility-and-repeated-choices,https://www.lesswrong.com/posts/pE3EDMWrFBSvt6DvZ/expected-utility-and-repeated-choices,2019-12-27T20:26:17.465Z,9,7,6,0,2019
DccLoKXGTZdhKrEMb,"We need to revisit AI rewriting its source code",we-need-to-revisit-ai-rewriting-its-source-code,https://www.lesswrong.com/posts/DccLoKXGTZdhKrEMb/we-need-to-revisit-ai-rewriting-its-source-code,2019-12-27T18:27:55.315Z,11,8,5,0,2019
MN4NRkMw7ggt9587K,"Firming Up Not-Lying Around Its Edge-Cases Is Less Broadly Useful Than One Might Initially Think",firming-up-not-lying-around-its-edge-cases-is-less-broadly,https://www.lesswrong.com/posts/MN4NRkMw7ggt9587K/firming-up-not-lying-around-its-edge-cases-is-less-broadly,2019-12-27T05:09:22.546Z,117,56,43,0,2019
WBo8r3nLG9vgr6SiN,"What spiritual experiences have you had?",what-spiritual-experiences-have-you-had,https://www.lesswrong.com/posts/WBo8r3nLG9vgr6SiN/what-spiritual-experiences-have-you-had,2019-12-27T03:41:26.130Z,22,5,23,0,2019
tCA9oRXhbyoboFkES,"Naming Rooms",naming-rooms,https://www.lesswrong.com/posts/tCA9oRXhbyoboFkES/naming-rooms,2019-12-27T02:40:01.644Z,8,3,1,0,2019
m9JeFRgW4DtE3yiHC,"Link: Does the following seem like a reasonable brief summary of the key disagreements regarding AI risk?",link-does-the-following-seem-like-a-reasonable-brief-summary,https://www.lesswrong.com/posts/m9JeFRgW4DtE3yiHC/link-does-the-following-seem-like-a-reasonable-brief-summary,2019-12-26T20:14:52.509Z,11,5,2,0,2019
RQoSCs9SePDMLJvfz,"New paper: (When) is Truth-telling Favored in AI debate?",new-paper-when-is-truth-telling-favored-in-ai-debate,https://www.lesswrong.com/posts/RQoSCs9SePDMLJvfz/new-paper-when-is-truth-telling-favored-in-ai-debate,2019-12-26T19:59:00.946Z,32,12,7,0,2019
vMREHvewNmscSMt7s,"Finding a quote: ""proof by contradiction is the closest math comes to irony"" ",finding-a-quote-proof-by-contradiction-is-the-closest-math,https://www.lesswrong.com/posts/vMREHvewNmscSMt7s/finding-a-quote-proof-by-contradiction-is-the-closest-math,2019-12-26T17:40:41.669Z,8,3,2,0,2019
jdBXWR84PZP8X9suX,"Defining ""Antimeme""",defining-antimeme,https://www.lesswrong.com/posts/jdBXWR84PZP8X9suX/defining-antimeme,2019-12-26T09:35:11.906Z,17,13,10,0,2019
srp7Fcybu62KzBBeZ,"Talking Through A Fear of Death",talking-through-a-fear-of-death,https://www.lesswrong.com/posts/srp7Fcybu62KzBBeZ/talking-through-a-fear-of-death,2019-12-26T05:23:34.670Z,6,6,0,0,2019
pZgK6diwamYFzcSm9,"Gortha Ick",gortha-ick,https://www.lesswrong.com/posts/pZgK6diwamYFzcSm9/gortha-ick,2019-12-26T03:20:01.923Z,9,2,0,0,2019
D7CY29s2D6HJirqcF,"[AN #78] Formalizing power and instrumental convergence, and the end-of-year AI safety charity comparison",an-78-formalizing-power-and-instrumental-convergence-and-the,https://www.lesswrong.com/posts/D7CY29s2D6HJirqcF/an-78-formalizing-power-and-instrumental-convergence-and-the,2019-12-26T01:10:01.626Z,26,7,10,0,2019
CqFyZBn3bQbHDHbnQ,"Get a Life",get-a-life,https://www.lesswrong.com/posts/CqFyZBn3bQbHDHbnQ/get-a-life,2019-12-26T00:51:14.063Z,0,3,5,0,2019
aXW8xAKTruWdzGSij,"Values Assimilation Premortem",values-assimilation-premortem,https://www.lesswrong.com/posts/aXW8xAKTruWdzGSij/values-assimilation-premortem,2019-12-26T00:30:06.496Z,16,7,10,0,2019
Z4hEMjzqE7kABfQrE,"Understanding Machine Learning (III)",understanding-machine-learning-iii,https://www.lesswrong.com/posts/Z4hEMjzqE7kABfQrE/understanding-machine-learning-iii,2019-12-25T18:55:55.715Z,16,5,2,0,2019
p72t4uwAzX864zuKK,"12020: a fine future for these holidays",12020-a-fine-future-for-these-holidays,https://www.lesswrong.com/posts/p72t4uwAzX864zuKK/12020-a-fine-future-for-these-holidays,2019-12-25T15:01:33.788Z,38,17,6,0,2019
kSwsNsbq3QWHKoFma,"Absolutely Winning Bridge Hands",absolutely-winning-bridge-hands,https://www.lesswrong.com/posts/kSwsNsbq3QWHKoFma/absolutely-winning-bridge-hands,2019-12-25T02:50:14.711Z,9,2,4,0,2019
zihjMujStyktz64ie,"Another AI Winter?",another-ai-winter,https://www.lesswrong.com/posts/zihjMujStyktz64ie/another-ai-winter,2019-12-25T00:58:48.715Z,47,17,14,0,2019
jpQ3mq3XC7oHiKqXA,"Some Comments on ""Goodhart Taxonomy""",some-comments-on-goodhart-taxonomy,https://www.lesswrong.com/posts/jpQ3mq3XC7oHiKqXA/some-comments-on-goodhart-taxonomy,2019-12-24T23:59:33.361Z,9,7,1,0,2019
jKbATmMLfqxSm2yMd,"ESC Process Notes: Claim Evaluation vs. Syntheses",esc-process-notes-claim-evaluation-vs-syntheses,https://www.lesswrong.com/posts/jKbATmMLfqxSm2yMd/esc-process-notes-claim-evaluation-vs-syntheses,2019-12-24T17:00:02.010Z,19,6,4,0,2019
My8Wit9Aa49qDKpab,"Should I floss?",should-i-floss,https://www.lesswrong.com/posts/My8Wit9Aa49qDKpab/should-i-floss,2019-12-24T16:06:27.379Z,24,18,11,0,2019
XbXJZjwinkoQXu4db,"Funk-tunul's Legacy; Or, The Legend of the Extortion War",funk-tunul-s-legacy-or-the-legend-of-the-extortion-war,https://www.lesswrong.com/posts/XbXJZjwinkoQXu4db/funk-tunul-s-legacy-or-the-legend-of-the-extortion-war,2019-12-24T09:29:51.536Z,13,20,6,0,2019
QNeydSNDK5THyAmFB,"What are you reading?",what-are-you-reading,https://www.lesswrong.com/posts/QNeydSNDK5THyAmFB/what-are-you-reading,2019-12-24T00:11:52.101Z,7,4,12,0,2019
XjuT9vgBfwXPxsdfN,"Might humans not be the most intelligent animals?",might-humans-not-be-the-most-intelligent-animals,https://www.lesswrong.com/posts/XjuT9vgBfwXPxsdfN/might-humans-not-be-the-most-intelligent-animals,2019-12-23T21:50:05.422Z,56,30,41,0,2019
TqJegvR4z8JMd7uJA,"Offset Norms",offset-norms,https://www.lesswrong.com/posts/TqJegvR4z8JMd7uJA/offset-norms,2019-12-23T21:30:02.084Z,15,4,1,0,2019
WJzsTmsDctYCCyMfy,"Humans Are Embedded Agents Too",humans-are-embedded-agents-too,https://www.lesswrong.com/posts/WJzsTmsDctYCCyMfy/humans-are-embedded-agents-too,2019-12-23T19:21:15.663Z,81,30,19,0,2019
BP5ERKNQdmdb8au9y,"Autoexperiments",autoexperiments,https://www.lesswrong.com/posts/BP5ERKNQdmdb8au9y/autoexperiments,2019-12-23T16:53:03.287Z,10,4,4,0,2019
c2MGa7kaSioDSqfC6,"Yet another Simpson's Paradox Post",yet-another-simpson-s-paradox-post,https://www.lesswrong.com/posts/c2MGa7kaSioDSqfC6/yet-another-simpson-s-paradox-post,2019-12-23T14:20:09.309Z,7,3,2,0,2019
FWTPojEPpGA8H4wHK,"Conversation about whether LW Moderators should express individual opinions about mod policy - 2019/12/22",conversation-about-whether-lw-moderators-should-express,https://www.lesswrong.com/posts/FWTPojEPpGA8H4wHK/conversation-about-whether-lw-moderators-should-express,2019-12-23T03:46:31.060Z,17,5,12,0,2019
GxvfcguA64Jrw5qmQ,"Freezer Contents",freezer-contents,https://www.lesswrong.com/posts/GxvfcguA64Jrw5qmQ/freezer-contents,2019-12-23T02:40:02.002Z,4,4,0,0,2019
zkjfzLCqJxdNKfTKJ,"Can fear of the dark bias us more generally?",can-fear-of-the-dark-bias-us-more-generally,https://www.lesswrong.com/posts/zkjfzLCqJxdNKfTKJ/can-fear-of-the-dark-bias-us-more-generally,2019-12-22T22:09:42.239Z,21,5,1,0,2019
pKaxeLCcbeNGdJy3c,"Decission Theory and Quantum Self-Measurement",decission-theory-and-quantum-self-measurement,https://www.lesswrong.com/posts/pKaxeLCcbeNGdJy3c/decission-theory-and-quantum-self-measurement,2019-12-22T19:16:56.547Z,2,5,4,0,2019
JAD4u5dRwFApC3qYF,"Understanding Machine Learning (II)",understanding-machine-learning-ii,https://www.lesswrong.com/posts/JAD4u5dRwFApC3qYF/understanding-machine-learning-ii,2019-12-22T18:28:07.158Z,24,7,4,0,2019
vEGqDWDTnZ82eXo3J,"How to Talk About Antimemes",how-to-talk-about-antimemes,https://www.lesswrong.com/posts/vEGqDWDTnZ82eXo3J/how-to-talk-about-antimemes,2019-12-22T11:57:27.828Z,20,13,13,0,2019
ML5Lu6YxYoCfsJ6q9,"The Towel Census: A Methodology for Identifying Orphaned Objects in Your Home",the-towel-census-a-methodology-for-identifying-orphaned,https://www.lesswrong.com/posts/ML5Lu6YxYoCfsJ6q9/the-towel-census-a-methodology-for-identifying-orphaned,2019-12-22T06:04:44.111Z,29,11,7,0,2019
DQQcC5B9GHHgkSi2N,"What could a World Unification Index track to measure how unified the world is, was, and is becoming?",what-could-a-world-unification-index-track-to-measure-how,https://www.lesswrong.com/posts/DQQcC5B9GHHgkSi2N/what-could-a-world-unification-index-track-to-measure-how,2019-12-22T04:56:07.263Z,4,1,7,0,2019
Z8rdY2546jbWQarBc,"If Antarctic became hospitable to humans, and consequently received a mass migration, what are likely ways the Antarctic legal system could evolve?",if-antarctic-became-hospitable-to-humans-and-consequently,https://www.lesswrong.com/posts/Z8rdY2546jbWQarBc/if-antarctic-became-hospitable-to-humans-and-consequently,2019-12-22T04:31:52.495Z,4,1,4,0,2019
cjvN3rfuw4T2Q4ipf,"Pixel 3a Review",pixel-3a-review,https://www.lesswrong.com/posts/cjvN3rfuw4T2Q4ipf/pixel-3a-review,2019-12-22T03:00:02.105Z,10,3,0,0,2019
sMhJsRfLXAg87EEqT,"Section 7: Foundations of Rational Agency",section-7-foundations-of-rational-agency,https://www.lesswrong.com/posts/sMhJsRfLXAg87EEqT/section-7-foundations-of-rational-agency,2019-12-22T02:05:24.380Z,14,3,4,0,2019
iFW8yZ63w7ZFvRoxk,"Templates and videos for doing annual and daily reviews ",templates-and-videos-for-doing-annual-and-daily-reviews,https://www.lesswrong.com/posts/iFW8yZ63w7ZFvRoxk/templates-and-videos-for-doing-annual-and-daily-reviews,2019-12-22T00:48:53.832Z,16,12,6,0,2019
cM5Se2MyGaTeYbCFq,"The Arrows of Time",the-arrows-of-time,https://www.lesswrong.com/posts/cM5Se2MyGaTeYbCFq/the-arrows-of-time,2019-12-21T11:42:16.894Z,5,3,6,0,2019
vwgtcfKLchK82pfD6,"Old and New Saw Blades",old-and-new-saw-blades,https://www.lesswrong.com/posts/vwgtcfKLchK82pfD6/old-and-new-saw-blades,2019-12-21T02:00:01.545Z,14,7,0,0,2019
sY2rHNcWdg94RiSSR,"The Counterfactual Prisoner's Dilemma",the-counterfactual-prisoner-s-dilemma,https://www.lesswrong.com/posts/sY2rHNcWdg94RiSSR/the-counterfactual-prisoner-s-dilemma,2019-12-21T01:44:23.257Z,21,10,17,0,2019
yaCwW8nPQeJknbCgf,"Free Speech and Triskaidekaphobic Calculators: A Reply to Hubinger on the Relevance of Public Online Discussion to Existential Risk",free-speech-and-triskaidekaphobic-calculators-a-reply-to,https://www.lesswrong.com/posts/yaCwW8nPQeJknbCgf/free-speech-and-triskaidekaphobic-calculators-a-reply-to,2019-12-21T00:49:02.862Z,73,33,25,0,2019
qQ7oJwnH9kkmKm2dC,"Quadratic voting for the 2018 Review",quadratic-voting-for-the-2018-review,https://www.lesswrong.com/posts/qQ7oJwnH9kkmKm2dC/quadratic-voting-for-the-2018-review,2019-12-20T22:59:07.178Z,39,12,42,0,2019
cwpKagyTvqSyAJB7q,"Clarifying Power-Seeking and Instrumental Convergence",clarifying-power-seeking-and-instrumental-convergence,https://www.lesswrong.com/posts/cwpKagyTvqSyAJB7q/clarifying-power-seeking-and-instrumental-convergence,2019-12-20T19:59:32.793Z,42,16,7,0,2019
N2fsGN8FLE766gQZB,"Polio and the controversy over randomized clinical trials",polio-and-the-controversy-over-randomized-clinical-trials,https://www.lesswrong.com/posts/N2fsGN8FLE766gQZB/polio-and-the-controversy-over-randomized-clinical-trials,2019-12-20T19:49:44.991Z,18,5,3,0,2019
Z29etNPef6yvrPteK,"Understanding Machine Learning (I)",understanding-machine-learning-i,https://www.lesswrong.com/posts/Z29etNPef6yvrPteK/understanding-machine-learning-i,2019-12-20T18:22:53.505Z,44,9,12,0,2019
4GuKi9wKYnthr8QP9,"Sections 5 & 6: Contemporary Architectures, Humans in the Loop",sections-5-and-6-contemporary-architectures-humans-in-the,https://www.lesswrong.com/posts/4GuKi9wKYnthr8QP9/sections-5-and-6-contemporary-architectures-humans-in-the,2019-12-20T03:52:43.629Z,27,7,4,0,2019
mFeGmtdLLaeHqyxuk,"Should We Still Fly?",should-we-still-fly,https://www.lesswrong.com/posts/mFeGmtdLLaeHqyxuk/should-we-still-fly,2019-12-20T02:00:01.640Z,47,16,13,0,2019
Y33FqdBKDPei5zWG7,"Reason and Intuition in science",reason-and-intuition-in-science,https://www.lesswrong.com/posts/Y33FqdBKDPei5zWG7/reason-and-intuition-in-science,2019-12-20T01:35:58.546Z,-6,7,18,0,2019
yD9GLtQgp8vAfndL8,"Causal Abstraction Intro",causal-abstraction-intro,https://www.lesswrong.com/posts/yD9GLtQgp8vAfndL8/causal-abstraction-intro,2019-12-19T22:01:46.140Z,24,8,6,0,2019
96N8BT9tJvybLbn5z,"We run the Center for Applied Rationality, AMA",we-run-the-center-for-applied-rationality-ama,https://www.lesswrong.com/posts/96N8BT9tJvybLbn5z/we-run-the-center-for-applied-rationality-ama,2019-12-19T16:34:15.705Z,108,51,324,0,2019
cLtdcxu9E4noRSons,"[Part 1] Amplifying generalist research via forecasting – Models of impact and challenges",part-1-amplifying-generalist-research-via-forecasting-models,https://www.lesswrong.com/posts/cLtdcxu9E4noRSons/part-1-amplifying-generalist-research-via-forecasting-models,2019-12-19T15:50:33.412Z,55,16,29,0,2019
FeE9nR7RPZrLtsYzD,"[Part 2] Amplifying generalist research via forecasting – results from a preliminary exploration",part-2-amplifying-generalist-research-via-forecasting,https://www.lesswrong.com/posts/FeE9nR7RPZrLtsYzD/part-2-amplifying-generalist-research-via-forecasting,2019-12-19T15:49:45.901Z,62,15,10,0,2019
megKzKKsoecdYqwb7,"When Goodharting is optimal: linear vs diminishing returns, unlikely vs likely, and other factors",when-goodharting-is-optimal-linear-vs-diminishing-returns,https://www.lesswrong.com/posts/megKzKKsoecdYqwb7/when-goodharting-is-optimal-linear-vs-diminishing-returns,2019-12-19T13:55:28.954Z,24,8,18,0,2019
qRtbjHsJiwYggYhP4,"Neural networks as non-leaky mathematical abstraction",neural-networks-as-non-leaky-mathematical-abstraction,https://www.lesswrong.com/posts/qRtbjHsJiwYggYhP4/neural-networks-as-non-leaky-mathematical-abstraction,2019-12-19T12:23:17.683Z,14,7,11,0,2019
vj6CYLuDPw3ieCB4A,"CFAR: Progress Report & Future Plans",cfar-progress-report-and-future-plans-1,https://www.lesswrong.com/posts/vj6CYLuDPw3ieCB4A/cfar-progress-report-and-future-plans-1,2019-12-19T06:19:58.948Z,63,28,5,0,2019
YN6daWakNnkXEeznB,"Propagating Facts into Aesthetics",propagating-facts-into-aesthetics,https://www.lesswrong.com/posts/YN6daWakNnkXEeznB/propagating-facts-into-aesthetics,2019-12-19T04:09:17.816Z,109,46,35,0,2019
cGXWGBdtfTY4obN8Q,"What's going on with this failure of Bayes to converge?",what-s-going-on-with-this-failure-of-bayes-to-converge,https://www.lesswrong.com/posts/cGXWGBdtfTY4obN8Q/what-s-going-on-with-this-failure-of-bayes-to-converge,2019-12-19T03:58:13.883Z,7,3,3,0,2019
SmDziGM9hBjW9DKmf,"2019 AI Alignment Literature Review and Charity Comparison",2019-ai-alignment-literature-review-and-charity-comparison,https://www.lesswrong.com/posts/SmDziGM9hBjW9DKmf/2019-ai-alignment-literature-review-and-charity-comparison,2019-12-19T03:00:54.708Z,130,37,18,0,2019
w4wQzyYSvSGBv8oWS,"One Million Dollars",one-million-dollars,https://www.lesswrong.com/posts/w4wQzyYSvSGBv8oWS/one-million-dollars,2019-12-19T02:10:02.034Z,61,18,1,0,2019
gxbJfvb5eejrGkA9w,"""You can't possibly succeed without [My Pet Issue]""",you-can-t-possibly-succeed-without-my-pet-issue,https://www.lesswrong.com/posts/gxbJfvb5eejrGkA9w/you-can-t-possibly-succeed-without-my-pet-issue,2019-12-19T01:12:15.502Z,50,24,14,0,2019
ipCAL4tx7jcJsFasY,"Abstraction, Causality, and Embedded Maps: Here Be Monsters",abstraction-causality-and-embedded-maps-here-be-monsters,https://www.lesswrong.com/posts/ipCAL4tx7jcJsFasY/abstraction-causality-and-embedded-maps-here-be-monsters,2019-12-18T20:25:04.584Z,26,10,1,0,2019
bFv8soRx6HB94p5Pg,"Against Premature Abstraction of Political Issues",against-premature-abstraction-of-political-issues,https://www.lesswrong.com/posts/bFv8soRx6HB94p5Pg/against-premature-abstraction-of-political-issues,2019-12-18T20:19:53.909Z,84,34,22,0,2019
nGqzNC6uNueum2w8T,"Inductive biases stick around",inductive-biases-stick-around,https://www.lesswrong.com/posts/nGqzNC6uNueum2w8T/inductive-biases-stick-around,2019-12-18T19:52:36.136Z,64,23,15,0,2019
LYdvzXF6E4iXM2ZSD,"[AN #77]: Double descent: a unification of statistical theory and modern ML practice",an-77-double-descent-a-unification-of-statistical-theory-and,https://www.lesswrong.com/posts/LYdvzXF6E4iXM2ZSD/an-77-double-descent-a-unification-of-statistical-theory-and,2019-12-18T18:30:01.862Z,21,8,4,0,2019
HSs7YuXscvXYwAHKT,"Rationalist Solstice Madison",rationalist-solstice-madison,https://www.lesswrong.com/events/HSs7YuXscvXYwAHKT/rationalist-solstice-madison,2019-12-18T15:56:38.493Z,1,1,0,0,2019
fqZQAHg6DWvz5LwFN,"The Neuroscience of Anxiety",the-neuroscience-of-anxiety,https://www.lesswrong.com/posts/fqZQAHg6DWvz5LwFN/the-neuroscience-of-anxiety,2019-12-18T14:20:07.957Z,8,2,0,0,2019
gBkTbjdTyQGQvtms7,"The Vostok Ice Cores Revisited pt. II",the-vostok-ice-cores-revisited-pt-ii,https://www.lesswrong.com/posts/gBkTbjdTyQGQvtms7/the-vostok-ice-cores-revisited-pt-ii,2019-12-18T11:50:04.365Z,1,1,2,0,2019
wPAgy9TrB26T54cBb,"The Vostok Ice Cores Revisited pt. I",the-vostok-ice-cores-revisited-pt-i,https://www.lesswrong.com/posts/wPAgy9TrB26T54cBb/the-vostok-ice-cores-revisited-pt-i,2019-12-18T11:42:47.243Z,1,1,0,0,2019
YNvofXfijHkr996Mz,"How should I dispose of a dangerous idea?",how-should-i-dispose-of-a-dangerous-idea,https://www.lesswrong.com/posts/YNvofXfijHkr996Mz/how-should-i-dispose-of-a-dangerous-idea,2019-12-18T03:49:45.477Z,-13,14,23,0,2019
cHujateswTyJfMkPT,"Big Community Solstice",big-community-solstice,https://www.lesswrong.com/posts/cHujateswTyJfMkPT/big-community-solstice,2019-12-18T02:30:01.857Z,17,5,5,0,2019
